excluded_reason	id	name	description	categories	primary_category	tier	homepage	homepage_status	repo_url	repo_status	repo_origin	repo_stars	repo_pushed	repo_archived	repo_language	repo_license	tool_type	topics	languages	license	license_source	maturity	cost	registries	citations	citation_note	year	publication	citations_total	citations_papers	publication_title	publication_venue	publication_url	citations_recent	citations_recent_year	pmid	doi	publication_is_preprint	biotools_id	biotools_url	last_update	source	tags	featured
Tool discovers conserved DNA sequences in viral genomes for evolutionary analysis, not regulatory genomics; admitted on EDAM 'Sequence motif discovery' alone	evoprinter	EvoPrinter	Comparative genomics tool for discovering conserved DNA sequences that are shared among three or more orthologous DNAs.	motif-discovery|comparative	motif-discovery	core	https://evoprinter.ninds.nih.gov/evoprintprogramHD/evphd.html										Web application	DNA|RNA|Nucleic acid sites, features and motifs							3		2017	pmid:28622346										False	evoprinter	https://bio.tools/evoprinter	2024-11-25	bio.tools		
Generates synthetic biochemical reaction networks for benchmarking, not regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	sbbadger	SBbadger	Biochemical Reaction Networks with Definable Degree Distributions.	grn-inference	grn-inference	core	https://github.com/sys-bio/SBbadger		https://github.com/sys-bio/SBbadger		recorded	4	2023-06-05	False	Python	MIT	Library	Sequence assembly|Literature and language|Enzymes|Molecular interactions, pathways and networks|Small molecules	Python	MIT			Free of charge		3			pmid:36111865										False	sbbadger	https://bio.tools/sbbadger	2022-10-31	bio.tools		
Focuses on metabolic network reconstruction from Tn-seq and RNA-seq, not regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	tn-core	Tn-Core	Functionally Interpreting Transposon-Sequencing Data with Metabolic Network Analysis	grn-inference	grn-inference	core	http://combo.dbe.unifi.it/tncore		https://github.com/diCenzo-GC/Tn-Core		recorded	2	2022-11-03	False	MATLAB	MIT		RNA-Seq|Endocrinology and metabolism|Small molecules|Genotype and phenotype|Gene expression	MATLAB|Python|JavaScript	MIT					3		2021	pmid:33180303										False	tn-core	https://bio.tools/tn-core	2021-03-20	bio.tools		
Detects differentially conserved positions in multiple sequence alignments, which is a phylogenetic/comparative genomics task, not regulatory genomics	maga	MAGA	A Supervised Method to Detect Motifs From Annotated Groups in Alignments	motif-scanning	motif-scanning	extended	http://cbdm-01.zdv.uni-mainz.de/~munoz/maga/										Web service	Phylogenetics|Sequence sites, features and motifs|Structure analysis|Gene and protein families|Model organisms							2		2020	pmid:32425492										False	maga	https://bio.tools/maga	2021-02-19	bio.tools		
Detects metal ions binding to RNA base pairs, which is RNA structure analysis, not regulatory genomics; admitted on EDAM 'DNA binding site prediction' alone	metbp	MetBP	A Software Tool for Detection of Interaction between Metal Ion-RNA Base Pairs.	tfbs-prediction	tfbs-prediction	core	https://github.com/computational-biology/metbp		https://github.com/computational-biology/metbp		recorded	0	2023-06-15	False	C		Command-line tool	RNA|Protein binding sites|Nucleic acid structure analysis|DNA binding sites	C|Fortran	Not licensed			Free of charge		2		2022	pmid:35695777										False	metbp	https://bio.tools/metbp	2024-11-24	bio.tools		
Tool is for general spectroscopic peak detection (NMR, Raman, IR, XRD, UV-vis), not for regulatory genomics; admitted on EDAM 'Peak calling' alone	itihi	Tihi Toolkit	Tihi Toolkit is an open-source, multiplatform software for peak detection and signal decomposition, designed to provide accessible tools for spectral data analysis	peak-calling	peak-calling	core	https://github.com/kyunghoon-han/tihi		https://github.com/kyunghoon-han/tihi		recorded	7	2025-08-09	False	Jupyter Notebook	MIT		NMR|Literature and language							2			pmid:39713663										False	itihi	https://bio.tools/itihi	2026-01-15	bio.tools		
Focuses on general path-based mining of omics-integrated networks, not specific to regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	pathext	PathExt	PathExt is a general framework for path-based mining of omics-integrated biological networks	grn-inference	grn-inference	core	https://github.com/NarmadaSambaturu/PathExt		https://github.com/NarmadaSambaturu/PathExt		recorded	4	2020-10-12	False	Python			Molecular interactions, pathways and networks|Transcriptomics|Metabolomics|Genotype and phenotype|Mathematics	Python|Shell						2			doi:10.1101/2020.01.21.913418										True	pathext	https://bio.tools/pathext	2021-01-22	bio.tools		
Focuses on abdominal aortic aneurysm disease genes and SNPs, not regulatory genomics; admitted on EDAM 'Gene regulatory network prediction' alone	aaakb	AAAKB	A manually curated database for tracking and predicting genes of Abdominal aortic aneurysm (AAA).	grn-inference	grn-inference	core	http://www.lqlgroup.cn:3838/AAAKB/										Database portal	Molecular interactions, pathways and networks|Gene expression|Pathology|DNA polymorphism|Machine learning					Free of charge		2		2023	pmid:38100461										False	aaakb	https://bio.tools/aaakb	2024-11-24	bio.tools		
Focuses on subcellular gene proximity and cell-cell communication motifs from spatial transcriptomics, not regulatory genomics	3d-spagnn-e	3D-spaGNN-E	3D-spaGNN-E is a pipeline that develops spatially resolved gene neighborhood network embedding to identify subcellular gene proximity relationships and key subcellular motifs in cell-cell communication	motif-scanning	motif-scanning	extended	https://github.com/coskunlab/3D-spaGNN-E		https://github.com/coskunlab/3D-spaGNN-E		recorded	0	2024-06-11	False	Jupyter Notebook			Transcriptomics|Cell biology|Gene transcripts|Imaging|Proteomics							1			pmid:40084126										False	3d-spagnn-e	https://bio.tools/3d-spagnn-e	2026-02-22	bio.tools		
Tool mines RNA 3D structural motifs, not regulatory genomics elements	vernal	Vernal	A Tool for Mining Fuzzy Network Motifs in RNA.	motif-discovery|motif-scanning	motif-discovery	extended	http://vernal.cs.mcgill.ca		https://github.com/cgoliver/vernal		recorded	9	2026-02-16	False	Python		Command-line tool	Sequence sites, features and motifs|RNA|Protein structural motifs and surfaces	Python	Not licensed			Free of charge		1			pmid:34791045										False	vernal	https://bio.tools/vernal	2022-03-09	bio.tools		
Focuses on RNA 3D motifs and secondary structure, not regulatory genomics; admitted on EDAM 'Sequence motif discovery' alone	perfumes	PERFUMES	Pipeline to extract RNA functional motifs and exposed structures.	motif-discovery	motif-discovery	core	https://jwgitlab.cs.mcgill.ca/arnaud_chol/perfumes										Workflow	Functional, regulatory and non-coding RNA|Sequence sites, features and motifs|Protein structural motifs and surfaces|Workflows	Python				Free of charge		1		2024	pmid:38291894										False	perfumes	https://bio.tools/perfumes	2024-05-14	bio.tools		
Tool aligns HIV envelope sequences using glycosylation site constraints, not regulatory genomics; admitted on EDAM 'Sequence motif discovery' alone	nglyalign	NGlyAlign	An automated library building tool to align highly divergent HIV envelope sequences	motif-discovery	motif-discovery	core	https://github.com/UNSW-Mathematical-Biology/NGlyAlign_v1.0		https://github.com/UNSW-Mathematical-Biology/NGlyAlign_v1.0		recorded	1	2020-09-30	False		GPL-3.0	Desktop application|Library	Sequence analysis|Sequence sites, features and motifs|Sequencing		GPL-3.0					1		2021	pmid:33557755										False	nglyalign	https://bio.tools/nglyalign	2021-04-11	bio.tools		
CRISPRware designs gRNA libraries for CRISPR editing, not for regulatory genomics; admitted on EDAM 'Peak calling' alone	crisprware	CRISPRware	CRISPRware is a software package for designing context-specific guide RNA (gRNA) libraries leveraging next-generation sequencing data, allowing for allele-specific guide design and publicly accessible through the UCSC Genome Browser.	peak-calling	peak-calling	core	https://www.genome.ucsc.edu/s/CarpenterLab/crisprware_hg38											Sequencing|Ribosome Profiling|Gene transcripts|Functional, regulatory and non-coding RNA|ATAC-seq							1			pmid:40597657										False	crisprware	https://bio.tools/crisprware	2026-02-22	bio.tools		
It computes gene set activity scores from bulk RNA-seq and microarray data, not regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	netactivity	NetActivity	NetActivity is a Bioconductor package that computes gene set activity scores from previously trained sparsely-connected autoencoders	grn-inference	grn-inference	core	http://www.bioconductor.org/packages/NetActivity											Gene expression|RNA-Seq|Microarray experiment|Molecular interactions, pathways and networks|Oncology	R	MIT					1			pmid:38597610										False	netactivity	https://bio.tools/netactivity	2026-01-14	bio.tools		
Focuses on scRNA-seq and proteomics for hub gene discovery, not regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	bimm_sc	BIMM	A novel Bioinformatic Inference and Multiscale Modeling (BIMM) method that can  discovers hub genes of TGFβ, MYC, and SMAD3 varied underlie DEX treatment	grn-inference	grn-inference	core	https://github.com/chenm19/BIMM		https://github.com/chenm19/BIMM		recorded	1	2022-06-15	False	MATLAB		Command-line tool	Proteomics|Oncology|Molecular interactions, pathways and networks|Sequence analysis|RNA-Seq	MATLAB|R	Not licensed					1		2022	pmid:35998480										False	bimm_sc	https://bio.tools/bimm_sc	2024-11-24	bio.tools		
Predicts protein-protein interactions, not gene regulatory networks; admitted on EDAM 'Gene regulatory network analysis' alone	necare	NECARE	Network-based cancer gene relationship prediction method reveals perturbations in the cancer gene network	grn-inference	grn-inference	core	https://github.com/JiajunQiu/NECARE		https://github.com/JiajunQiu/NECARE		recorded	3	2021-08-24	False	Python	MIT	Command-line tool	Oncology|Molecular interactions, pathways and networks|Protein interaction experiment|Gene expression|Machine learning	Python	MIT					1			doi:10.1101/2020.07.01.181776										True	necare	https://bio.tools/necare	2021-03-08	bio.tools		
Tool predicts retrosynthesis pathways for plant natural products, not gene regulatory networks; admitted on EDAM 'Gene regulatory network prediction' alone	readretro_web	READRetro	READRetro is a user-friendly web platform that integrates a machine learning model for predicting plant natural product biosynthesis, bridging the gap between advanced retrosynthesis and practical research workflows	grn-inference	grn-inference	core	https://readretro.readthedocs.io		https://github.com/SeulLee05/READRetro		inferred							Plant biology|Molecular interactions, pathways and networks|Endocrinology and metabolism|Drug discovery|Machine learning							1			pmid:40466944										False	readretro_web	https://bio.tools/readretro_web	2026-02-22	bio.tools		
It is a general-purpose sequence motif search tool, not specific to regulatory genomics	tetrex	TetRex	TetRex is a tool for index-accelerated search of highly conserved motifs in biological sequences, utilizing a hierarchical interleaved bloom filter to reduce search space and improve runtime	motif-scanning	motif-scanning	extended	https://github.com/remyschwab/TetRex		https://github.com/remyschwab/TetRex		recorded	2	2025-11-20	False	C++	BSD-3-Clause		Proteomics|Model organisms|Gene expression|Small molecules							0			pmid:40248489										False	tetrex	https://bio.tools/tetrex	2026-02-22	bio.tools		
Extracts introns from transcripts, not regulatory genomics	getintrons	getintrons	Get the introns of a set of transcripts.	motif-scanning	motif-scanning	extended	https://urgi.versailles.inra.fr/Tools/REPET										Web application	Gene transcripts				Mature				publication is a platform or suite paper	2016	pmid:27137889										False	getintrons	https://bio.tools/getintrons	2024-11-25	bio.tools		
Tool discovers motifs in glycan sequences, not regulatory genomics sequences; admitted on EDAM 'Sequence motif discovery' alone	hsmotifdiscover	HSMotifDiscover	Identification of motifs in sequences composed of non-single-letter elements.	motif-discovery|motif-scanning	motif-discovery	core	https://hsmotifdiscover.shinyapps.io/HSMotifDiscover_ShinyApp/		https://github.com/bioinfoDZ/HSMotifDiscover		recorded	3	2022-05-11	False	R		Web application	Sequence sites, features and motifs|Microarray experiment|Protein interactions|Protein modifications|Gene expression	R	MIT			Free of charge		0		2022	pmid:35771633										False	hsmotifdiscover	https://bio.tools/hsmotifdiscover	2024-11-24	bio.tools		
Tool analyzes protein sequences for biomineralization, not regulatory genomics; admitted on EDAM 'Sequence motif discovery' alone	promintools	ProminTools	Shedding light on proteins of unknown function in biomineralization with user friendly tools illustrated using mollusc shell matrix protein sequences	motif-discovery|motif-scanning	motif-discovery	core	https://github.com/skeffington/Promin-tools		https://github.com/skeffington/Promin-tools		recorded	2	2020-07-18	False		GPL-3.0		Proteomics|Sequence analysis|Sequence sites, features and motifs|Small molecules|Model organisms	R	GPL-3.0					0			doi:10.1101/2020.03.05.978718										True	promintools	https://bio.tools/promintools	2021-01-27	bio.tools		
It finds nucleic subsequences, not regulatory motifs; admitted on EDAM 'Sequence motif comparison' alone	sequence_in_sequence_finder	sequence_in_sequence_finder	Finds a accurate nucleic subsequences within in a sequence	motif-discovery|motif-comparison	motif-discovery	core	https://github.com/haschka/sequence_in_sequence_finder		https://github.com/haschka/sequence_in_sequence_finder		recorded	3	2022-09-12	False	C	NOASSERTION	Command-line tool	Genomics	C	Zlib		Mature	Free of charge (with restrictions)					doi:10.5281/zenodo.5510252										False	sequence_in_sequence_finder	https://bio.tools/sequence_in_sequence_finder	2022-01-10	bio.tools		
Clusters T cell receptor sequences by antigen-specificity, not regulatory genomics; admitted on EDAM 'Sequence motif discovery' alone	ting	ting	ting is a tool for clustering large scale T cell receptor repertoires by antigen-specificity.	motif-discovery	motif-discovery	core	https://github.com/FelixMoelder/ting		https://github.com/FelixMoelder/ting		recorded	4	2021-01-28	False	Python	MIT		Cell biology|Immunoproteins and antigens|Small molecules|Sequence sites, features and motifs	Python	MIT					0			doi:10.1101/2020.05.04.069914										True	ting	https://bio.tools/ting	2021-02-27	bio.tools		
Tool discovers structural variations, not regulatory elements; admitted on EDAM 'Sequence motif discovery' alone	ctk	The CLEVER Toolkit	Suite of tools to discover structural variations such as (larger) insertions and deletions in genomes from paired-end sequencing reads.	motif-discovery	motif-discovery	core	https://bitbucket.org/tobiasmarschall/clever-toolkit		https://bitbucket.org/tobiasmarschall/clever-toolkit		recorded						Suite	Genomics|DNA structural variation|Sequence analysis|Sequencing	C++|Python	GPL-3.0		Mature																False	ctk	https://bio.tools/ctk	2018-12-10	bio.tools		
Tool is for genomic variant calling, not regulatory genomics; admitted on EDAM 'Sequence motif comparison' alone	varianttools	VariantTools	Tools for detecting, filtering, calling, comparing and plotting variants.	motif-comparison	motif-comparison	core	http://bioconductor.org/packages/release/bioc/html/VariantTools.html										Command-line tool|Library	Genetic variation|Genomics	R	Artistic-2.0					0			doi:10.1101/027227										True	varianttools	https://bio.tools/varianttools	2018-12-10	bio.tools		
Finds sRNA homologs, not regulatory elements; admitted on EDAM 'Transcriptional regulatory element prediction' alone	glassgo	GLASSgo	GLobal Automated sRNA Search go, combines iterative BLAST searches, pairwise identity filtering, and structure based clustering in an automated prediction pipeline to find sRNA homologs from scratch	regulatory-elements	regulatory-elements	core	http://rna.informatik.uni-freiburg.de/GLASSgo/Input.jsp										Web service	Taxonomy|Functional, regulatory and non-coding RNA	JavaScript|Perl|Python			Emerging	Free of charge															False	glassgo	https://bio.tools/glassgo	2018-12-10	bio.tools		
Provides breast cancer transcriptomic datasets for differential expression and gene-set enrichment, not regulatory genomics; admitted on EDAM 'cis-regulatory element prediction' alone	MetaGxBreast	MetaGxBreast	A collection of Breast Cancer Transcriptomic Datasets that are part of the MetaGxData package compendium.	regulatory-elements	regulatory-elements	core	https://bioconductor.org/packages/release/data/experiment/html/MetaGxBreast.html										Library	Gene expression|Pathology|Oncology	R	Artistic-2.0		Mature	Free of charge															False	MetaGxBreast	https://bio.tools/MetaGxBreast	2020-06-16	bio.tools		
Predicts residue-residue pairing in beta strands for protein structure, not regulatory genomics; admitted on EDAM 'Promoter prediction' alone	rdb2c2	RDb2C2	an improved method to identify the residue-residue pairing in β strands	tfbs-prediction|regulatory-elements	tfbs-prediction	core	http://structpred.life.tsinghua.edu.cn/rdb2c2.html		https://github.com/DeeShao/RDB2C2		recorded	1	2019-10-16	False	Python			Machine learning|Transcription factors and regulatory sites|Structure prediction|Small molecules	Python						0		2020	pmid:32245403										False	rdb2c2	https://bio.tools/rdb2c2	2021-02-04	bio.tools		
Detects R-peaks in EKG for heart rate variability, not regulatory genomics; admitted on EDAM 'Peak calling' alone	cardiopy	CardioPy	CardioPy is an open-source heart rate variability toolkit for single-lead EKG	peak-calling	peak-calling	core	http://github.com/CardioPy/CardioPy		https://github.com/CardioPy/CardioPy		recorded	8	2022-07-21	False	Jupyter Notebook	BSD-3-Clause	Script	Mathematics|Workflows|Cardiology|Medical informatics	Python	BSD-3-Clause					0			doi:10.1101/2020.10.06.328856										True	cardiopy	https://bio.tools/cardiopy	2021-02-07	bio.tools		
Database of birth defect multi-omics data, not regulatory genomics; admitted on EDAM 'Peak calling' alone	bddb	BDdb	BDdb is a comprehensive database associated with birth-defect-related diseases	peak-calling|chip-resources	peak-calling	core	http://t21omics.cngb.org										Database portal	Sequencing|Biomarkers|Pathology|Microarray experiment|Functional, regulatory and non-coding RNA							0			doi:10.1101/2020.07.20.211391										True	bddb	https://bio.tools/bddb	2021-01-31	bio.tools		
Tool focuses on single-cell functional states and immune response cataloging, not gene regulatory network analysis or regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	funpart	FunPart	FunPart is a computational tool that partitions heterogeneous cell populations into functionally distinct subpopulations and simultaneously identifies modules of functionally relevant set of genes for each of them.	grn-inference	grn-inference	core	https://github.com/BarlierC/FunPart		https://github.com/BarlierC/FunPart		recorded	1	2021-11-08	False	R	GPL-2.0	Web application	Transcriptomics|Function analysis	R						0		2021	pmid:34404761										False	funpart	https://bio.tools/funpart	2024-11-24	bio.tools		
Detects ectopic expression from scRNA-seq data, not regulatory genomics; admitted on EDAM 'Gene regulatory network analysis' alone	ectracker	EcTracker	Tracking and elucidating ectopic expression leveraging large-scale scRNA-seq studies	grn-inference	grn-inference	core	https://the-ahuja-lab.shinyapps.io/ectracker/		https://github.com/the-ahuja-lab/EcTracker		recorded	0	2021-06-12	False	R		Library	Gene expression|Pathology|Molecular interactions, pathways and networks|Cell biology|Physiology	R						0			pmid:34184038										False	ectracker	https://bio.tools/ectracker	2021-11-06	bio.tools		
Focuses on gene modules and clinical outcomes in SLE, not on regulatory genomics; admitted on EDAM 'Gene regulatory network prediction' alone	myprosle	MyPROSLE	MyPROSLE was developed with the aim of bringing molecular information from patients to clinical practice	grn-inference	grn-inference	core	https://myprosle.genyo.es/										Web application	Immunology|Preclinical and clinical studies|Transcriptomics	R			Mature	Free of charge															False	myprosle	https://bio.tools/myprosle	2022-06-14	bio.tools		
Prioritizes genes for drug pharmacodynamics via protein interaction networks, not regulatory genomics; admitted on EDAM 'Gene regulatory network prediction' alone	genetrank	GENetRank	Gene prioritization based on random walks with restarts and absorbing states, to define gene sets regulating drug pharmacodynamics from single-cell analyses	grn-inference|single-cell	grn-inference	core	https://sbl.inria.fr/doc/Genetrank-user-manual.html										Library	Molecular interactions, pathways and networks|Gene regulation|Pharmacogenomics|Protein folds and structural domains							0			doi:10.1101/2021.02.19.431974										True	genetrank	https://bio.tools/genetrank	2021-03-26	bio.tools		
Searches PROTEIN sequences with a motif; not DNA regulatory analysis	patmatdb	patmatdb	Search protein sequences with a sequence motif.		uncategorised	core	http://emboss.open-bio.org/rel/rel6/apps/patmatdb.html										Command-line tool	Sequence sites, features and motifs	C	GPL-3.0		Mature	Free of charge			publication is a platform or suite paper	2000	doi:10.1016/S0168-9525(00)02024-2										False	patmatdb	https://bio.tools/patmatdb	2018-12-10	bio.tools		
Combines p-values in any genome-scale differential analysis	bioconductor-metapod	metapod	Implements a variety of methods for combining p-values in differential analyses of genome-scale datasets		uncategorised	core	https://bioconductor.org/packages/metapod		https://github.com/LTLA/metapod		recorded	2	2026-02-17	False	R		Library|Command-line tool		R	GPL-3.0								doi:10.18129/B9.bioc.metapod										False	bioconductor-metapod	https://bio.tools/bioconductor-metapod	2026-09-01	bio.tools		
